State,City,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Alabama,Ashland,0,0,0,0,0,0,0,0,0,0,1972
Alabama,Auburn,0,0,0,0,0,0,0,0,0,0,62005
Alabama,Demopolis,0,0,0,0,0,0,0,0,0,0,7115
Alabama,Enterprise,0,0,0,0,0,0,0,0,0,0,28028
Alabama,Eutaw,0,0,0,0,0,0,0,0,0,0,2757
Alabama,Fairhope,0,0,0,0,0,0,0,0,0,0,18821
Alabama,Florence,0,0,0,0,0,0,0,0,0,0,40433
Alabama,Foley,0,0,0,0,0,0,0,0,0,0,16644
Alabama,Gadsden,0,0,0,0,0,0,0,0,0,0,36148
Alabama,Geneva,0,0,0,0,0,0,0,0,0,0,4453
Alabama,Guntersville,0,0,0,0,0,0,0,0,0,0,8395
Alabama,Jasper,0,0,0,0,0,0,0,0,0,0,14042
Alabama,Lafayette,0,0,0,0,0,0,0,0,0,0,2981
Alabama,Lineville,0,0,0,0,0,0,0,0,0,0,2305
Alabama,Midland City,0,0,0,0,0,0,0,0,0,0,2411
Alabama,Mobile,0,0,0,0,0,0,0,0,0,0,250346
Alabama,Montgomery,0,0,0,0,0,0,0,0,0,0,199139
Alabama,Muscle Shoals,0,0,0,0,0,0,0,0,0,0,13720
Alabama,Opp,0,0,0,0,0,0,0,0,0,0,6681
Alabama,Pelham,0,0,0,0,0,0,0,0,0,0,22997
Alabama,Rainbow City,0,0,0,0,0,0,0,0,0,0,9603
Alabama,Repton,0,0,0,0,0,0,0,0,0,0,270
Alabama,Sardis City,0,0,0,0,0,0,0,0,0,0,1750
Alabama,Springville,0,0,0,0,0,0,0,0,0,0,4223
Alabama,Talladega,0,0,0,0,0,0,0,0,0,0,16006
Alabama,Taylor,0,0,0,0,0,0,0,0,0,0,2424
Alabama,Trussville,0,0,0,0,0,0,0,0,0,0,20874
Alabama,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,97511
Alaska,Bethel,0,0,0,0,0,0,0,0,0,0,6497
Alaska,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,942
Alaska,Cordova,0,0,0,0,0,0,0,0,0,0,2220
Alaska,Craig,0,0,0,0,0,0,0,0,0,0,1265
Alaska,Dillingham,0,0,0,0,0,0,0,0,0,0,2411
Alaska,Fairbanks,0,0,0,0,0,0,0,0,0,0,32677
Alaska,Haines,0,0,0,0,0,0,0,0,0,0,2567
Alaska,Homer,0,0,0,0,0,0,0,0,0,0,5511
Alaska,Juneau,0,0,0,0,0,0,0,0,0,0,32482
Alaska,Kenai,0,0,0,0,0,0,0,0,0,0,7680
Alaska,Ketchikan,0,0,0,0,0,0,0,0,0,0,8286
Alaska,Kodiak,0,0,0,0,0,0,0,0,0,0,6345
Alaska,Nome,0,0,0,0,0,0,0,0,0,0,3832
Alaska,North Slope Borough,0,0,0,0,0,0,0,0,0,0,9707
Alaska,Palmer,0,0,0,0,0,0,0,0,0,0,6652
Alaska,Petersburg,0,0,0,0,0,0,0,0,0,0,3130
