State,City,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Alabama,Birmingham,3,0,2,0,0,0,1,1,1,2,212291
Alabama,Hoover,4,0,0,0,0,0,0,3,1,0,85163
Alabama,Prattville,1,0,0,0,0,0,0,1,0,0,35637
Alaska,Anchorage,4,0,1,0,0,0,1,1,2,1,301239
Alaska,Kotzebue,1,0,0,0,0,0,0,1,0,0,3304
Alaska,North Pole,1,0,0,0,0,0,0,1,0,0,2190
Alaska,Soldotna,1,0,0,0,0,0,0,0,0,1,4512
Arizona,Apache Junction,2,0,0,0,0,0,1,1,0,0,38519
Arizona,Avondale,1,1,0,0,0,0,0,0,0,2,80533
Arizona,Chandler,1,0,0,0,0,0,0,0,1,0,258875
Arizona,El Mirage,0,1,0,0,0,0,0,1,0,0,33985
Arizona,Gilbert,3,1,0,0,0,0,2,1,1,0,247324
Arizona,Glendale,5,2,1,0,0,0,2,2,2,2,240374
Arizona,Holbrook,0,0,1,0,0,0,0,1,0,0,5007
Arizona,Mesa,2,2,0,0,0,0,1,0,1,2,471034
Arizona,Nogales,0,1,0,0,0,0,0,0,0,1,20312
Arizona,Phoenix,137,40,49,5,0,0,76,77,44,34,1559744
Arizona,Prescott,1,0,0,0,0,0,1,0,0,0,41393
Arizona,Scottsdale,1,1,1,0,0,0,2,0,1,0,233872
Arizona,Tucson,1,0,3,0,0,0,2,0,1,1,529675
Arizona,Williams,0,0,1,0,0,0,0,1,0,0,3110
Arizona,Yuma,3,0,1,0,0,0,0,2,1,1,93923
Arizona,"Arizona State University, Main Campus",2,0,0,0,0,0,1,1,0,0,83260
Arizona,Maricopa,1,0,0,0,0,0,1,0,0,0,1000000
Arizona,Pima,1,1,0,0,0,0,0,2,0,0,1000000
Arizona,Pinal,1,0,0,0,0,0,0,1,0,0,1000000
Arizona,Yavapai,0,1,0,0,0,0,1,0,0,0,1000000
Arizona,Graham,0,1,0,0,0,0,1,0,0,0,1000000
Arkansas,Bryant,1,0,0,0,0,0,1,0,0,0,20404
Arkansas,Fort Smith,0,0,2,0,0,0,1,0,0,1,87603
Arkansas,Sebastian,1,0,0,0,0,0,0,1,0,0,1000000
Arkansas,Boone,1,0,0,0,0,0,1,0,0,0,1000000
California,Alameda,1,1,0,0,0,0,1,0,1,0,78613
California,Alhambra,0,1,0,0,0,0,0,0,1,0,86175
California,Antioch,5,2,1,0,0,0,2,1,2,3,110537
California,Azusa,2,1,0,0,0,0,0,2,1,0,49431
California,Bakersfield,1,0,3,0,0,0,3,0,0,1,373887
California,Banning,1,1,0,0,0,0,0,1,1,0,31030
California,Bellflower,1,1,0,0,0,0,0,1,0,1,78635
California,Bell Gardens,2,0,0,0,0,0,0,1,0,1,43411
California,Berkeley,2,1,1,0,0,0,0,1,0,3,120387
California,Beverly Hills,0,2,0,0,0,0,0,2,0,0,35054
California,Brisbane,1,0,1,0,0,0,0,1,0,1,4696
California,Buena Park,0,1,0,0,0,0,0,0,0,1,83684
California,Burbank,1,0,0,0,0,0,0,1,0,0,105865
California,Calabasas,1,0,0,0,0,0,0,0,1,0,24505
California,Camarillo,1,0,0,0,0,0,0,1,0,0,67325
California,Carmel,0,1,0,0,0,0,0,0,1,0,3913
California,Carson,3,0,0,0,0,0,1,1,1,0,93677
California,Chino Hills,0,1,0,0,0,0,0,0,0,1,77515
California,Chula Vista,1,0,2,0,0,0,0,1,1,1,265215
California,Citrus Heights,1,1,0,0,0,0,0,0,0,2,86853
California,Claremont,1,2,1,0,0,0,0,2,0,2,36331
California,Clearlake,5,2,0,0,0,0,2,0,3,2,15044
California,Clovis,1,1,0,0,0,0,0,0,1,1,103769
California,Coachella,0,1,0,0,0,0,0,0,0,1,44953
California,Colton,0,1,0,0,0,0,0,1,0,0,54503
California,Commerce,0,0,1,0,0,0,0,0,1,0,13137
California,Compton,1,0,1,0,0,0,0,1,1,0,99125
California,Concord,3,1,1,0,0,0,2,0,0,3,128767
California,Covina,1,0,0,0,0,0,1,0,0,0,49300
California,Cypress,1,1,0,0,0,0,1,1,0,0,49560
California,Daly City,1,0,1,0,0,0,1,0,1,0,107320
California,Davis,2,2,2,0,0,0,5,0,1,0,67034
California,Diamond Bar,2,0,0,0,0,0,1,0,1,0,57085
California,East Palo Alto,0,1,1,0,0,0,0,0,1,1,29864
California,El Cajon,0,0,1,0,0,0,1,0,0,0,103942
California,El Cerrito,2,0,0,0,0,0,0,1,1,0,24842
California,Elk Grove,2,0,0,0,0,0,1,0,1,0,166183
California,El Monte,2,0,1,0,0,0,2,0,0,1,117376
California,El Segundo,1,0,0,0,0,0,0,0,1,0,17164
