County,Binary
Los Angeles,0
Cook,0
Harris,0
Maricopa,1
Miami-Dade,0
King,0
Orange,0
Broward,0
Wayne,0
San Diego,0
Middlesex,0
Clark,0
Dallas,0
Kings,0
Philadelphia,0
Hennepin,0
Oakland,0
Tarrant,1
Palm Beach,0
Allegheny,0
Queens,0
Suffolk,1
Nassau,0
Hillsborough,0
New York,0
Bexar,0
Cuyahoga,0
Franklin,0
Santa Clara,0
Fairfax,0
Riverside,0
Wake,0
St. Louis,0
San Bernardino,0
Pinellas,1
Travis,0
Mecklenburg,0
Milwaukee,0
Duval,1
Montgomery,0
Alameda,0
Macomb,1
DuPage,0
Fairfield,0
Fulton,0
Hartford,0
Hamilton,0
Bergen,0
Erie,0
Worcester,0
Westchester,0
Essex,0
New Haven,0
Sacramento,0
Marion,0
Pima,0
Bronx,0
Norfolk,0
Multnomah,0
Collin,1
Jefferson,0
Prince George's,0
Bucks,0
Contra Costa,0
Baltimore,0
Shelby,0
Cobb,0
Lee,1
Gwinnett,0
Monroe,0
Brevard,1
El Paso,1
Monmouth,1
Kent,1
Snohomish,0
Dane,0
Suffolk,0
Pierce,0
DeKalb,0
Jackson,0
Lake,0
Denton,1
Will,0
Honolulu,0
Delaware,0
Polk,1
Salt Lake,0
Arapahoe,0
District of Columbia,0
San Francisco,0
Johnson,1
Oklahoma,1
Bernalillo,0
Ramsey,0
Chester,0
Plymouth,0
New Castle,0
Fort Bend,0
Volusia,1
Ocean,1
Ventura,0
Guilford,0
Summit,0
Montgomery,1
Morris,1
Tulsa,1
Davidson,0
Bristol,0
Anne Arundel,0
Providence,0
Pasco,1
Lancaster,1
Waukesha,1
Denver,0
Washington,0
Dakota,0
Sarasota,1
Polk,0
Seminole,1
Camden,0
Douglas,0
Union,0
San Mateo,0
Greenville,1
El Paso,0
Hillsborough,1
Washoe,0
Baltimore city,0
York,1
Fresno,0
Spokane,1
Hudson,0
Williamson,1
Hampden,0
St. Charles,1
East Baton Rouge Parish,0
Genesee,0
Ada,1
Burlington,0
Larimer,0
Kane,0
Onondaga,0
Lucas,0
Passaic,0
Washtenaw,0
Anoka,1
Douglas,1
Clackamas,0
Westmoreland,1
Jefferson Parish,1
Lane,0
Sedgwick,1
Loudoun,0
Knox,1
Rockingham,1
Manatee,1
Boulder,0
Berks,1
Charleston,0
Chesterfield,1
Adams,0
Marion,1
Hidalgo,0
Forsyth,0
Virginia Beach city,1
Cumberland,0
Stark,1
Collier,1
Lake,1
Richland,0
Kern,1
Butler,1
Richmond,1
Orleans Parish,0
Utah,1
Sonoma,0
Mobile,1
Henrico,0
Pulaski,0
Madison,1
Somerset,0
Hamilton,1
Lehigh,0
Leon,0
Escambia,1
Durham,0
Howard,0
Allen,1
Ottawa,1
Prince William,0
Northampton,1
Mercer,0
Solano,0
Orange,1
St. Lucie,1
McHenry,1
Osceola,0
Santa Barbara,0
Gloucester,1
Lorain,1
St. Johns,1
Fayette,0
Buncombe,0
San Joaquin,0
Weld,1
Ingham,0
Luzerne,1
Barnstable,0
Dauphin,0
Lancaster,0
Alachua,0
Greene,1
Brown,1
St. Louis city,0
Kalamazoo,0
Albany,0
New London,0
Horry,1
St. Tammany Parish,1
Harford,1
Galveston,1
Rockland,0
Lexington,1
Spartanburg,1
Brazoria,1
Dutchess,1
Arlington,0
St. Clair,0
Erie,1
Thurston,0
Cumberland,1
Frederick,1
Linn,0
Warren,1
York,0
Winnebago,1
Mahoning,0
Chesapeake city,1
Cherokee,1
Kitsap,0
Stanislaus,1
St. Joseph,0
Cleveland,1
Clay,1
New Hanover,1
Rutherford,1
San Luis Obispo,0
Chatham,0
Jefferson,1
Sussex,1
Atlantic,0
Caddo Parish,0
Lafayette Parish,1
Livingston,1
Placer,1
Whatcom,0
Saratoga,1
Nueces,1
Jackson,1
Union,1
Lackawanna,0
Okaloosa,1
Delaware,1
Shelby,1
Lubbock,1
Henry,0
Litchfield,1
Forsyth,1
Washington,1
Benton,1
Sangamon,1
Clermont,1
Charlotte,1
Outagamie,1
Gaston,1
Richmond city,0
Saginaw,1
Baldwin,1
Trumbull,1
Bell,1
Hernando,1
Pinal,1
Racine,1
Yavapai,1
Davis,1
Cameron,0
Hinds,0
Cabarrus,1
Deschutes,1
Medina,1
Clayton,0
Champaign,0
Marin,0
Santa Rosa,1
Bay,1
Niagara,1
Martin,1
Carroll,1
Scott,0
Johnston,1
Oneida,1
Calcasieu Parish,1
Boone,0
Smith,1
Hampshire,0
Merrimack,0
Tuscaloosa,1
Weber,1
Iredell,1
Anderson,1
Santa Cruz,0
Penobscot,1
Indian River,1
Citrus,1
Licking,1
Olmsted,0
Beaver,1
McLean,1
Stearns,1
Berkeley,1
Cass,1
Pitt,0
Minnehaha,1
McLennan,1
St. Clair,1
Sarpy,1
Broome,1
Peoria,0
Chittenden,0
Ulster,0
Muskegon,0
Tolland,0
Sumter,1
Porter,1
Kenosha,1
Johnson,0
Centre,0
Hendricks,1
Norfolk city,0
Rock,0
Kanawha,1
Richmond,0
Mesa,1
Aiken,1
Scott,1
Alexandria city,0
Mohave,1
Monroe,1
Portage,1
Shawnee,1
Beaufort,1
Charles,0
Butte,1
Davidson,1
Canyon,1
Vanderburgh,1
Kenton,1
Berrien,1
Hays,1
Sumner,1
Catawba,1
Monterey,0
Hunterdon,1
Fairfield,1
Santa Fe,0
Hall,1
Dona Ana,0
El Dorado,1
Franklin,1
Alamance,1
Wright,1
Marathon,1
Newport News city,0
Muscogee,0
Ouachita Parish,1
Strafford,0
Brunswick,1
Kootenai,1
Brazos,1
Kennebec,1
Rensselaer,1
Stafford,1
Elkhart,1
Yellowstone,1
Hawaii,0
Paulding,1
Berkshire,0
Columbia,1
